Transaction ID,Product SKU,Product,Date,user_id,Quantity,Product Revenue
1755007814,PROD251,Studio Fix Powder Plus Foundation,20190409,2018044676,2,384.00
1755007814,PROD251,Studio Fix Powder Plus Foundation,20190410,2018044676,2,384.00
1755007814,PROD32212,Prep + Prime Fix,20190409,2018044676,2,212.00
1755007814,PROD32212,Prep + Prime Fix,20190410,2018044676,2,212.00
1755007814,PROD35126,Pro Longwear Nourishing Waterproof Foundation,20190409,2018044676,2,396.00
1755007814,PROD35126,Pro Longwear Nourishing Waterproof Foundation,20190410,2018044676,2,396.00
1755447355,PROD60403,Shiny Pretty Things / Lip Kit,20190407,2018953600,2,700.00
1755573849,PROD43859,Liptensity Lipstick,20190407,2008172529,2,232.00
1755573849,PROD43859,Liptensity Lipstick,20190408,2008172529,2,232.00
1755754589,PROD15746,Prep + Prime Highlighter,20190409,2015518591,2,296.00
1755815327,PROD37604,Fluidline Pen,20190408,2018875091,2,114.00
1755889746,PROD1347,Technakohl Liner,20190409,2018877102,2,186.00
1755889746,PROD37620,Retro Matte Liquid Lipcolour,20190409,2018877102,2,230.00
1755889746,PROD7200,Pearlglide Intense Eye Liner,20190409,2018877102,2,186.00
1755891688,PROD60430,Studio Fix 24-Hour Smooth Wear Concealer,20190409,2018961052,2,230.00
1755891806,PROD36168,Upward Lash Mascara,20190409,2018961151,2,244.00
1755891806,PROD60430,Studio Fix 24-Hour Smooth Wear Concealer,20190409,2018961151,2,230.00
1755892400,PROD4386,Studio Sculpt SPF 15 Foundation,20190410,2018961067,2,396.00
1755892400,PROD60430,Studio Fix 24-Hour Smooth Wear Concealer,20190410,2018961067,2,230.00
1755892450,PROD57161,Eye Brows Styler,20190409,2013017113,2,200.00
1755932801,PROD60284,Powder Kiss Lipstick,20190409,2018877009,2,186.00
1755937777,PROD1231,Studio Fix Fluid SPF 15,20190410,2017263302,2,384.00
1755940424,PROD15746,Prep + Prime Highlighter,20190409,2014575505,2,296.00
1755940424,PROD17319,Brush Canister/Large,20190409,2014575505,2,240.00
1755940424,PROD323,Eye Kohl,20190409,2014575505,2,186.00
1755944317,PROD968,Prep + Prime Lip,20190409,2005563330,2,184.00
1755946545,PROD1231,Studio Fix Fluid SPF 15,20190409,2014765667,2,384.00
1755947966,PROD52597,Satin Lipstick,20190409,2018961299,2,186.00
1755949429,PROD60284,Powder Kiss Lipstick,20190409,2017077619,2,186.00
1755950968,PROD60403,Shiny Pretty Things / Lip Kit,20190409,2017230240,2,700.00
1755951029,PROD314,Studio Finish SPF 35 Concealer,20190409,2018963586,2,230.00
1755951033,PROD52596,Lustre Lipstick,20190409,2018961397,2,186.00
1755951846,PROD35126,Pro Longwear Nourishing Waterproof Foundation,20190409,2018877561,2,396.00
1755951846,PROD35126,Pro Longwear Nourishing Waterproof Foundation,20190411,2018877561,2,396.00
1755953083,PROD10181,Pro Longwear Concealer,20190409,2018806655,2,234.00
1755953083,PROD15746,Prep + Prime Highlighter,20190409,2018806655,2,296.00
1755953577,PROD251,Studio Fix Powder Plus Foundation,20190409,2010735553,2,384.00
1755954787,PROD24923,Mineralize Moisture SPF15 Foundation,20190409,2018877775,2,412.00
1755960137,PROD32212,Prep + Prime Fix,20190409,2018961824,2,212.00
